publisher,num_heroes,max_published_year,min_published_year
"Marvel Comics",121,2008,1939
"DC Comics",78,2013,1940
"Dark Horse Comics",12,2004,1979
"George Lucas",9,2015,1977
,3,1986,1933
Deadpool,2,2011,2011
Giant-Man,1,1962,1962
Angel,1,1963,1963
"Evil Deadpool",1,1991,1991
"Black Racer",1,1956,1956
"Speed Demon",1,1960,1960
Impulse,1,1994,1994
Goliath,1,1964,1964
"Flash IV",1,1994,1994
"Titan Books",1,1953,1953
Phoenix,1,1963,1963
"Star Trek",1,1987,1987
"Power Woman",1,1963,1963
Rebellion,1,2000,2000
"Power Man",1,1972,1972
Batgirl,1,1989,1989
"Jean Grey",1,1963,1963
"Robin III",1,1989,1989
"Batman II",1,1940,1940
"Red Robin",1,1989,1989
"Venom III",1,1964,1964
"Image Comics",1,1992,1992
Aztar,1,1940,1940
"Rune King Thor",1,1962,1962
Scorpion,1,1964,1964
"Vindicator II",1,1980,1980
"Thunderbird II",1,1984,1984
